input_text,target_text
translate question to dbpedia path: Entities possibly involved: dbr:Ricky_Gervais | Question: What are some characters of series produced by Ricky Grevais?,[ANS] >> dbo:series >> [VAR1] [SEP] [VAR1] >> dbo:executiveProducer >> dbr:Ricky_Gervais
"translate question to dbpedia path: Entities possibly involved: dbr:Killing_Is_Out,_School_Is_In, dbr:The_Next_Step_(James_Brown_album) | Question: Is the song Killing is Out, School is in belong in the The Next Step?","ASK >> dbr:Killing_Is_Out,_School_Is_In >> dbp:album >> dbr:The_Next_Step_(James_Brown_album)"
translate question to dbpedia path: Entities possibly involved: dbr:Luis_Enrique_(footballer) | Question: Count all those whose youth club was managed by Luis Enrique.,COUNT >> [ANS] >> dbp:youthclubs >> [VAR1] [SEP] [VAR1] >> dbp:manager >> dbr:Luis_Enrique_(footballer)
"translate question to dbpedia path: Entities possibly involved: dbr:Chordate, dbr:Camel | Question: Is camel  of the chordate phylum?",ASK >> dbr:Camel >> dbp:phylum >> dbr:Chordate
"translate question to dbpedia path: Entities possibly involved: dbr:Indianapolis_Colts, dbr:Carolina_Panthers | Question: Whose former teams are Indianapolis Colts and Carolina Panthers?",[ANS] >> dbo:formerTeam >> dbr:Carolina_Panthers [SEP] [ANS] >> dbo:formerTeam >> dbr:Indianapolis_Colts
translate question to dbpedia path: Entities possibly involved: dbr:All_I_Need_Is_Your_Sweet_Lovin' | Question: In which language is All I need is Your Sweet lovin written ?,dbr:All_I_Need_Is_Your_Sweet_Lovin' >> dbp:language >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Merlin_Express, dbr:Cibao_International_Airport | Question: Does the merlin express have a hub at the cibano international airport?",ASK >> dbr:Merlin_Express >> dbo:hubAirport >> dbr:Cibao_International_Airport
"translate question to dbpedia path: Entities possibly involved: dbr:Gibson_Les_Paul, dbr:Duane_Allman | Question: Was Duanne Allman known to play the Les Paul?",ASK >> dbr:Duane_Allman >> dbp:notableInstruments >> dbr:Gibson_Les_Paul
"translate question to dbpedia path: Entities possibly involved: dbr:William_Garne, dbr:Lagos_Preparatory_School | Question: What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?",dbr:Lagos_Preparatory_School >> dbo:sport >> [ANS] [SEP] dbr:William_Garne >> dbo:occupation >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:England | Question: What are the beverages whose origin is England?,[ANS] >> dbo:origin >> dbr:England
translate question to dbpedia path: Entities possibly involved: dbr:On_Air_with_Ryan_Seacrest | Question: Who is the film star of On Air with Ryan Seacrest ?,dbr:On_Air_with_Ryan_Seacrest >> dbo:starring >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Canal_&_River_Trust | Question: In how many different places does Canal and River Trust own its assets?,COUNT >> [VAR1] >> dbo:location >> [ANS] [SEP] [VAR1] >> dbo:owner >> dbr:Canal_&_River_Trust
translate question to dbpedia path: Entities possibly involved: dbr:Cape_Canaveral_Air_Force_Station | Question: Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?,COUNT >> [VAR1] >> dbo:launchSite >> [ANS] [SEP] [VAR1] >> dbo:launchSite >> dbr:Cape_Canaveral_Air_Force_Station
translate question to dbpedia path: Entities possibly involved: dbr:Bruce_Timm | Question: Name some comic characters created by Bruce Timm?,[ANS] >> dbo:creator >> dbr:Bruce_Timm
"translate question to dbpedia path: Entities possibly involved: dbr:Patty_Lin, dbr:Franklin_W._Olin | Question: Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?",dbr:Franklin_W._Olin >> dbp:education >> [ANS] [SEP] dbr:Patty_Lin >> dbp:almaMater >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Hockey | Question: Count the number of sports played by schools which play hockey ?,COUNT >> [VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbo:sport >> dbr:Hockey
translate question to dbpedia path: Entities possibly involved: dbr:Little_Easton | Question: List the tomb of the royalties whose burial place is Little Easton ?,[VAR1] >> dbp:placeOfBurial >> [ANS] [SEP] [VAR1] >> dbp:placeOfBurial >> dbr:Little_Easton [SEP] [VAR1] >> rdf:type >> dbo:Royalty
translate question to dbpedia path: Entities possibly involved: dbr:Operation_Barbarossa | Question: What are some relatives of the people who fought in Operation Barbarossa?,[VAR1] >> dbo:battle >> dbr:Operation_Barbarossa [SEP] [VAR1] >> dbo:relation >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: Entities possibly involved: dbr:Screenwriter | Question: How many awards have been given to screenwriters?,COUNT >> [VAR1] >> dbp:awards >> [ANS] [SEP] [VAR1] >> dbp:occupation >> dbr:Screenwriter
translate question to dbpedia path: Entities possibly involved: dbr:Microsoft_Windows | Question: How many software run on operating system is Microsoft Windows?,COUNT >> [ANS] >> dbo:operatingSystem >> dbr:Microsoft_Windows [SEP] [ANS] >> rdf:type >> dbo:Software
translate question to dbpedia path: Entities possibly involved: dbr:Counterpoint_(horse) | Question: What is the awards given to the horse whose grandson is the famous Counterpoint?,[VAR1] >> dbo:honours >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Horse [SEP] dbr:Counterpoint_(horse) >> dbp:grandsire >> [VAR1]
translate question to dbpedia path: Entities possibly involved: dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility | Question: Who won a Norbert Wiener Award for Social and Professional Responsibility?,[ANS] >> dbp:prizes >> dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility
translate question to dbpedia path: Entities possibly involved: dbr:Screenwriter | Question: What awards have been given to Screenwriters?,[VAR1] >> dbp:awards >> [ANS] [SEP] [VAR1] >> dbp:occupation >> dbr:Screenwriter
translate question to dbpedia path: Entities possibly involved: dbr:Tillingdale | Question: In which races have Tillingdale's horses participated?,[VAR1] >> dbp:owner >> dbr:Tillingdale [SEP] [VAR1] >> dbp:race >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Horse
translate question to dbpedia path: Entities possibly involved: dbr:Cadillac_Fleetwood | Question: What is the predecessor of the automobile which is the related of Cadillac Fleetwood?,[VAR1] >> dbo:predecessor >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Automobile [SEP] dbr:Cadillac_Fleetwood >> dbp:related >> [VAR1]
translate question to dbpedia path: Entities possibly involved: dbr:Lima | Question: Which country's largest city is Lima?,[ANS] >> dbo:largestCity >> dbr:Lima
translate question to dbpedia path: Entities possibly involved: dbr:Robert_Hall_(economist) | Question: List the institute of Robert hall ?,dbr:Robert_Hall_(economist) >> dbo:institution >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Laurie_Johnson | Question: What are the movies whose music is given by Laurie Johnson?,[ANS] >> dbp:music >> dbr:Laurie_Johnson [SEP] [ANS] >> rdf:type >> dbo:Film
"translate question to dbpedia path: Entities possibly involved: dbr:Sony, dbr:PlayStation_2 | Question: What appliance Sony made after the success of PlayStation 2?",[ANS] >> dbo:manufacturer >> dbr:Sony [SEP] [ANS] >> dbo:predecessor >> dbr:PlayStation_2
"translate question to dbpedia path: Entities possibly involved: dbr:Paul_Weatherwax, dbr:Behave_Yourself! | Question: Did Paul Weatherwax an editor of Behave Yourself?",ASK >> dbr:Behave_Yourself! >> dbp:editing >> dbr:Paul_Weatherwax
"translate question to dbpedia path: Entities possibly involved: dbr:Creative_Commons_license, dbr:Journal_of_Cancer | Question: does the journal of cancer have the creative commons license?",ASK >> dbr:Journal_of_Cancer >> dbp:license >> dbr:Creative_Commons_license
translate question to dbpedia path: Entities possibly involved: dbr:Blizzard_Entertainment | Question: What genre of games are made by Blizzard Entertainment studios?,[VAR1] >> dbo:developer >> dbr:Blizzard_Entertainment [SEP] [VAR1] >> dbp:genre >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:VideoGame
translate question to dbpedia path: Entities possibly involved: dbr:Doctor_Who:_Evacuation_Earth | Question: Name the series of Doctor Who: Evacuation Earth ?,dbr:Doctor_Who:_Evacuation_Earth >> dbo:series >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Face_to_Face_(1976_film) | Question: List the awards won by the writer of Face to Face ?,[VAR1] >> dbp:awards >> [ANS] [SEP] dbr:Face_to_Face_(1976_film) >> dbp:writer >> [VAR1]
translate question to dbpedia path: Entities possibly involved: dbr:The_Motorcycle_Diaries_(film) | Question: What awards were given to the screenplayer of The Motorcycle Diaries?,[VAR1] >> dbp:awards >> [ANS] [SEP] dbr:The_Motorcycle_Diaries_(film) >> dbp:screenplay >> [VAR1]
"translate question to dbpedia path: Entities possibly involved: dbr:Jack_Ryan_(politician), dbr:United_States_Senate | Question: Was Jack Ryan a nominee of US Senate?",ASK >> dbr:Jack_Ryan_(politician) >> dbo:nominee >> dbr:United_States_Senate
"translate question to dbpedia path: Entities possibly involved: dbr:Don_Ashby, dbr:Dan_Daoust | Question: What team did Dan Daoust and Don Ashby play for?",dbr:Dan_Daoust >> dbo:formerTeam >> [ANS] [SEP] dbr:Don_Ashby >> dbp:playedFor >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Radio_Philippines_Network | Question: Name the broadcast area of  Radio Philippines Network ?,dbr:Radio_Philippines_Network >> dbp:area >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Mitch_Miller, dbr:My_Truly,_Truly_Fair | Question: Is my truly truly fair the band of mitch miller?","ASK >> dbr:My_Truly,_Truly_Fair >> dbo:musicalBand >> dbr:Mitch_Miller"
translate question to dbpedia path: Entities possibly involved: dbr:Ashanti_Region | Question: Which religion is prevalent in the schools of the Ashanti region?,[VAR1] >> dbp:denomination >> [ANS] [SEP] [VAR1] >> dbp:region >> dbr:Ashanti_Region [SEP] [VAR1] >> rdf:type >> dbo:School
translate question to dbpedia path: Entities possibly involved: dbr:National_Collegiate_Athletic_Association | Question: How many different mascots are there of the NCAA teams?,COUNT >> [VAR1] >> dbp:athletics >> dbr:National_Collegiate_Athletic_Association [SEP] [VAR1] >> dbp:mascot >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Laemmle_Theatres | Question: What are the awrds won by Laemmle Theatres ?,dbr:Laemmle_Theatres >> dbo:service >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Video_game, dbr:Nintendo | Question: Is nintendo in the video games industry?",ASK >> dbr:Nintendo >> dbp:industry >> dbr:Video_game
"translate question to dbpedia path: Entities possibly involved: dbr:Soccer_Bowl_'76, dbr:Cheasty_Boulevard_South | Question: Which maintainer of Cheasty Boulevard South is also the city of Soccer Bowl' 76 ?",dbr:Cheasty_Boulevard_South >> dbo:maintainedBy >> [ANS] [SEP] dbr:Soccer_Bowl_'76 >> dbo:city >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:1993_European_Grand_Prix | Question: Which driver came first in the 1993 European Grand Prix ?,dbr:1993_European_Grand_Prix >> dbp:firstDriver >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Subaru_Outback | Question: What is the layout of the cars similar to that of the Subaru Outback?,[VAR1] >> dbo:layout >> [ANS] [SEP] [VAR1] >> dbo:relatedMeanOfTransportation >> dbr:Subaru_Outback [SEP] [VAR1] >> rdf:type >> dbo:Automobile
translate question to dbpedia path: Entities possibly involved: dbr:Potato | Question: How many other ingredient are there in the foods whihh have one of the ingredient as Potato ?,COUNT >> [VAR1] >> dbo:ingredient >> [ANS] [SEP] [VAR1] >> dbo:ingredient >> dbr:Potato
translate question to dbpedia path: Entities possibly involved: dbr:Vandenberg_Air_Force_Base | Question: How many companies have launched their rockets from the Vandenerg Air base?,COUNT >> [ANS] >> rdf:type >> dbo:Company [SEP] [VAR1] >> dbo:launchSite >> dbr:Vandenberg_Air_Force_Base [SEP] [VAR1] >> dbo:manufacturer >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Gatwick_Airport | Question: List the destinations to which the airlines headquartered at the Gatwick Airport fly to?,[VAR1] >> dbo:destination >> [ANS] [SEP] [VAR1] >> dbp:headquarters >> dbr:Gatwick_Airport [SEP] [VAR1] >> rdf:type >> dbo:Airline
translate question to dbpedia path: Entities possibly involved: dbr:Male | Question: What are some given names for males?,[ANS] >> dbo:gender >> dbr:Male
translate question to dbpedia path: Entities possibly involved: dbr:Sukhumbhand_Paribatra | Question: The official residence of Sukhumbhand paribatra ?,dbr:Sukhumbhand_Paribatra >> dbp:residence >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Foxconn | Question: Foxconn makes how many things?,COUNT >> [ANS] >> dbo:manufacturer >> dbr:Foxconn
"translate question to dbpedia path: Entities possibly involved: dbr:Polet_Airlines, dbr:Moscow | Question: Do the polet airlines fly to moscow?",ASK >> dbr:Polet_Airlines >> dbo:targetAirport >> dbr:Moscow
translate question to dbpedia path: Entities possibly involved: dbr:Shallot | Question: In how many nations can I find dishes made of Shallot?,COUNT >> [ANS] >> rdf:type >> dbo:Country [SEP] [VAR1] >> dbo:country >> [ANS] [SEP] [VAR1] >> dbo:ingredient >> dbr:Shallot
"translate question to dbpedia path: Entities possibly involved: dbr:Cohoes,_New_York, dbr:New_York_State_Route_470 | Question: Does Cohoes a junction on the NY State Route 470?","ASK >> dbr:New_York_State_Route_470 >> dbo:routeJunction >> dbr:Cohoes,_New_York"
translate question to dbpedia path: Entities possibly involved: dbr:Stuart_Alan_Jones | Question: How many other important things have been written by the creator of Stuart Alan Jones?,COUNT >> [VAR1] >> dbo:notableWork >> [ANS] [SEP] dbr:Stuart_Alan_Jones >> dbo:creator >> [VAR1]
translate question to dbpedia path: Entities possibly involved: dbr:County_Westmeath | Question: What is the genre of the Band whose home town is County Westmeath?,[VAR1] >> dbo:hometown >> dbr:County_Westmeath [SEP] [VAR1] >> dbp:genre >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Band
"translate question to dbpedia path: Entities possibly involved: dbr:Haiti_I_Am_Sorry | Question: Whose album is Haiti, I am sorry?",dbr:Haiti_I_Am_Sorry >> dbo:album >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Microsoft_Office, dbr:C++ | Question: Is Microsoft office written in C++",ASK >> dbr:Microsoft_Office >> dbp:programmingLanguage >> dbr:C++
translate question to dbpedia path: Entities possibly involved: dbr:Roundhead_(Wyandot) | Question: Name the commanders of military conflicts where Roundhead was one of the commander ?,[VAR1] >> dbo:commander >> [ANS] [SEP] [VAR1] >> dbp:commander >> dbr:Roundhead_(Wyandot) [SEP] [VAR1] >> rdf:type >> dbo:MilitaryConflict
translate question to dbpedia path: Entities possibly involved: dbr:Short_story | Question: What are some short story kind of Books?,[ANS] >> dbo:literaryGenre >> dbr:Short_story
translate question to dbpedia path: Entities possibly involved: dbr:Royal_blue | Question: What are the nicknames of the schools whose color is royal blue?,[VAR1] >> dbo:colour >> dbr:Royal_blue [SEP] [VAR1] >> dbp:nickname >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:School
translate question to dbpedia path: Entities possibly involved: dbr:José_Rivera_(playwright) | Question: What awards did Jos Rivera (playwright) win?,dbr:José_Rivera_(playwright) >> dbp:awards >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Screen_Actors_Guild_Life_Achievement_Award | Question: Which political figures were awarded Screen Actors Guild Life Achievement Award?,[ANS] >> dbo:award >> dbr:Screen_Actors_Guild_Life_Achievement_Award
translate question to dbpedia path: Entities possibly involved: dbr:United_States | Question: What are the things whose director of photography died in United States?,[ANS] >> dbp:cinematography >> [VAR1] [SEP] [VAR1] >> dbp:deathPlace >> dbr:United_States
translate question to dbpedia path: Entities possibly involved: dbr:Statelessness | Question: What are some scientists who have stateless citizenship?,[ANS] >> dbo:citizenship >> dbr:Statelessness [SEP] [ANS] >> rdf:type >> dbo:Scientist
translate question to dbpedia path: Entities possibly involved: dbr:Kenya | Question: What is the protected area whose nearest city is Kenya?,[ANS] >> dbo:nearestCity >> dbr:Kenya [SEP] [ANS] >> rdf:type >> dbo:ProtectedArea
translate question to dbpedia path: Entities possibly involved: dbr:Wisconsin | Question: Count the nearest city to the historic palce whose one of the nearest city is Wisconsin ?,COUNT >> [VAR1] >> dbo:nearestCity >> dbr:Wisconsin [SEP] [VAR1] >> dbp:nearestCity >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Roundhead_(Wyandot) | Question: Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).,COUNT >> [VAR1] >> dbo:commander >> [ANS] [SEP] [VAR1] >> dbp:commander >> dbr:Roundhead_(Wyandot)
translate question to dbpedia path: Entities possibly involved: dbr:Elizabeth_II | Question: How many places were ruled by Elizabeth II?,COUNT >> [ANS] >> dbp:leaderName >> dbr:Elizabeth_II [SEP] [ANS] >> rdf:type >> dbo:Place
translate question to dbpedia path: Entities possibly involved: dbr:Chinese_poetry | Question: List the interest of the scientists whose one of the field is Chinese poetry ?,[VAR1] >> dbp:fields >> [ANS] [SEP] [VAR1] >> dbp:fields >> dbr:Chinese_poetry [SEP] [VAR1] >> rdf:type >> dbo:Scientist
"translate question to dbpedia path: Entities possibly involved: dbr:K._Terry_Dornbush, dbr:Luke_List_(golfer) | Question: Which college of Luke List (golfer) is the alma mater of K. Terry Dornbush",dbr:K._Terry_Dornbush >> dbp:almaMater >> [ANS] [SEP] dbr:Luke_List_(golfer) >> dbp:college >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Chanté_mas, dbr:West_Africa | Question: Did Chant Mas originate in West Africa?",ASK >> dbr:Chanté_mas >> dbo:stylisticOrigin >> dbr:West_Africa
translate question to dbpedia path: Entities possibly involved: dbr:Bacilli | Question: Give me a count of bacterias which belongs to Bacilli class?,COUNT >> [ANS] >> dbo:class >> dbr:Bacilli [SEP] [ANS] >> rdf:type >> dbo:Bacteria
translate question to dbpedia path: Entities possibly involved: dbr:FremantleMedia | Question: How many producers have worked for FremantleMedia productions?,COUNT >> [VAR1] >> dbo:producer >> [ANS] [SEP] [VAR1] >> dbp:company >> dbr:FremantleMedia
"translate question to dbpedia path: Entities possibly involved: dbr:Tommy_Tucker's_Tooth, dbr:The_Haunted_House_(1929_film) | Question: Which animator of Tommy Ticker's Tooth is also the director of The Haunted house ?",dbr:The_Haunted_House_(1929_film) >> dbo:director >> [ANS] [SEP] dbr:Tommy_Tucker's_Tooth >> dbp:animator >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Larry_David | Question: How many shows are made by Larry David?,COUNT >> [ANS] >> dbo:creator >> dbr:Larry_David [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow
translate question to dbpedia path: Entities possibly involved: dbr:Oakland_Athletics | Question: How many architects are there who have made something used by Oakland athletics?,COUNT >> [VAR1] >> dbo:tenant >> dbr:Oakland_Athletics [SEP] [VAR1] >> dbp:architect >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Ethiopian_Parliament_Building | Question: Where is Ethiopian Parliament Building located ?,dbr:Ethiopian_Parliament_Building >> dbp:locationCountry >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Harriet_Andersson | Question: List the awards won by the spouse of Harriet Andersson?,[VAR1] >> dbp:awards >> [ANS] [SEP] dbr:Harriet_Andersson >> dbo:partner >> [VAR1]
"translate question to dbpedia path: Entities possibly involved: dbr:Solidus_(coin), dbr:Aureus | Question: Where are Solidus and Aureus used?",[ANS] >> dbo:currency >> dbr:Aureus [SEP] [ANS] >> dbo:currency >> dbr:Solidus_(coin)
translate question to dbpedia path: Entities possibly involved: dbr:Detroit | Question: Which company owns the airlines whose hub is in Dubai?,[VAR1] >> dbp:hubs >> dbr:Detroit [SEP] [VAR1] >> dbp:parent >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Airline
translate question to dbpedia path: Entities possibly involved: dbr:Ford_Y-block_engine | Question: Who built the Ford Y-block engine ?,dbr:Ford_Y-block_engine >> dbo:manufacturer >> [ANS]
"translate question to dbpedia path: Entities possibly involved: dbr:Gibby_Haynes, dbr:Saxophone | Question: Does Gibby Haynes play the saxophone?",ASK >> dbr:Gibby_Haynes >> dbp:instrument >> dbr:Saxophone
"translate question to dbpedia path: Entities possibly involved: dbr:National_Archaeological_Museum_(Florence), dbr:The_Orator | Question: Is The Orator in the National Archaeological Museum of Florence?",ASK >> dbr:The_Orator >> dbp:museum >> dbr:National_Archaeological_Museum_(Florence)
translate question to dbpedia path: Entities possibly involved: dbr:Lumberjack_100 | Question: What is the region of Lumberjack  ?,dbr:Lumberjack_100 >> dbp:region >> [ANS]
translate question to dbpedia path: Entities possibly involved: dbr:Royal_Designers_for_Industry | Question: How many awards have royal designers for industry awardwinners got?,COUNT >> [ANS] >> rdf:type >> dbo:Award [SEP] [VAR1] >> dbo:award >> [ANS] [SEP] [VAR1] >> dbp:awards >> dbr:Royal_Designers_for_Industry
translate question to dbpedia path: Entities possibly involved: dbr:Abdel_Bouckar | Question: Where is the team of Abdel Boucker located ?,[VAR1] >> dbo:location >> [ANS] [SEP] dbr:Abdel_Bouckar >> dbp:team >> [VAR1]
