input_text,target_text
translate question to dbpedia path: The fugitive Kind and the Notebook of Trigorin is written by what author?,dbr:The_Fugitive_Kind >> dbp:writer >> [ANS] [SEP] dbr:The_Notebook_of_Trigorin >> dbo:author >> [ANS]
translate question to dbpedia path: Name the mountain whose range is Sierra Nevada (U.S.) and parent mountain peak is Nevado de Toluca?,[ANS] >> dbo:mountainRange >> dbr:Sierra_Nevada_(U.S.) [SEP] [ANS] >> dbo:parentMountainPeak >> dbr:Nevado_de_Toluca [SEP] [ANS] >> rdf:type >> dbo:Mountain
translate question to dbpedia path: Where did the  designer of Monument to Salavat Yulaev die?,[VAR1] >> dbp:placeOfDeath >> [ANS] [SEP] dbr:Monument_to_Salavat_Yulaev >> dbo:designer >> [VAR1]
translate question to dbpedia path: How many mammals are in the Chordate phylum?,COUNT >> [ANS] >> dbp:phylum >> dbr:Chordate [SEP] [ANS] >> rdf:type >> dbo:Mammal
translate question to dbpedia path: List the battles fought by Roh Tae-woo ?,dbr:Roh_Tae-woo >> dbp:battles >> [ANS]
translate question to dbpedia path: Which genre of books are published by Random House?,[VAR1] >> dbp:publisher >> dbr:Random_House [SEP] [VAR1] >> dbp:subject >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Book
"translate question to dbpedia path: Which famous political figure appointed william cushing, and also founded Pittsburgh>",dbr:Pittsburgh >> dbo:founder >> [ANS] [SEP] dbr:William_Cushing >> dbo:appointer >> [ANS]
translate question to dbpedia path: Which newspapers are owned by companies which are under Rolv Erik Ryssdal?,[ANS] >> dbp:owners >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:Newspaper [SEP] [VAR1] >> dbo:keyPerson >> dbr:Rolv_Erik_Ryssdal
translate question to dbpedia path: Which series has an episode called The lost special and also a character named Sherlock Holmes ?,dbr:Sherlock_Holmes_(play) >> dbp:characters >> [ANS] [SEP] dbr:The_Lost_Special >> dbp:series >> [ANS]
translate question to dbpedia path: What are some Louisiana based models known for?,[VAR1] >> dbp:knownFor >> [ANS] [SEP] [VAR1] >> dbp:placeOfBirth >> dbr:Louisiana [SEP] [VAR1] >> rdf:type >> dbo:Model
translate question to dbpedia path: List the common official language of the ladonia and Empire of Atlantium ?,dbr:Empire_of_Atlantium >> dbo:officialLanguage >> [ANS] [SEP] dbr:Ladonia_(micronation) >> dbo:officialLanguage >> [ANS]
translate question to dbpedia path: What are the prizes won by the animator of The Skeleton Dance ?,[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Skeleton_Dance >> dbo:animator >> [VAR1]
translate question to dbpedia path: Which office holder's constituency is Haight-Ashbury and has military unit as USS Kittiwake ?,[ANS] >> dbo:militaryUnit >> dbr:USS_Kittiwake_(ASR-13) [SEP] [ANS] >> dbp:constituency >> dbr:Haight-Ashbury [SEP] [ANS] >> rdf:type >> dbo:OfficeHolder
translate question to dbpedia path: What is the region of the ethnic group which speaks the language of Arkansas?,[VAR1] >> dbp:region >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:EthnicGroup [SEP] dbr:Arkansas >> dbo:language >> [VAR1]
translate question to dbpedia path: What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?,[VAR1] >> dbo:relation >> dbr:Sarathchandra_Rajakaruna [SEP] [VAR1] >> dbo:religion >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:MemberOfParliament
translate question to dbpedia path: What organisation regulates and controls the New Sanno Hotel?,dbr:New_Sanno_Hotel >> dbo:tenant >> [ANS]
translate question to dbpedia path: Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10,dbr:2000–01_Aston_Villa_F.C._season >> dbp:name >> [ANS] [SEP] dbr:2009–10_Middlesbrough_F.C._season >> dbo:manager >> [ANS]
translate question to dbpedia path: Was Ganymede discovered by Galileo Galilei?,ASK >> dbr:Ganymede_(moon) >> dbp:discoverer >> dbr:Galileo_Galilei
translate question to dbpedia path: Name the F1 racer with relative as Ralf Schumacher and has child named Mick Schumacher?,[ANS] >> dbo:child >> dbr:Mick_Schumacher [SEP] [ANS] >> dbp:relatives >> dbr:Ralf_Schumacher [SEP] [ANS] >> rdf:type >> dbo:FormulaOneRacer
translate question to dbpedia path: Does the Toyota Verossa have the front engine design platform?,ASK >> dbr:Toyota_Verossa >> dbo:automobilePlatform >> dbr:Front-engine_design
translate question to dbpedia path: What are some other products of the banks which makes Postbanken?,[VAR1] >> dbo:product >> dbr:Postbanken [SEP] [VAR1] >> dbp:products >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Bank
translate question to dbpedia path: What is the occupation of the Irving Chernev and Karen Grigorian?,dbr:Irving_Chernev >> dbo:occupation >> [ANS] [SEP] dbr:Karen_Grigorian >> dbo:occupation >> [ANS]
translate question to dbpedia path: Who produces the trains operated by the MTR?,[VAR1] >> dbo:manufacturer >> [ANS] [SEP] [VAR1] >> dbo:operator >> dbr:MTR [SEP] [VAR1] >> rdf:type >> dbo:Train
translate question to dbpedia path: Name the TV show with distributor as Broadcast syndication and has theme music composed by Primus ?,[ANS] >> dbo:distributor >> dbr:Broadcast_syndication [SEP] [ANS] >> dbp:themeMusicComposer >> dbr:Primus_(band) [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow
translate question to dbpedia path: In which countries can i find some feminist writers?,[VAR1] >> dbo:movement >> dbr:Feminism [SEP] [VAR1] >> dbo:nationality >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Writer
"translate question to dbpedia path: In which teams did anyone who played as a defencemen, play previously?",[VAR1] >> dbo:formerTeam >> [ANS] [SEP] [VAR1] >> dbp:position >> dbr:Defenceman
translate question to dbpedia path: What are the other band member of the Bands whose current members is Hynief?,[VAR1] >> dbo:bandMember >> [ANS] [SEP] [VAR1] >> dbp:currentMembers >> dbr:Hynief [SEP] [VAR1] >> rdf:type >> dbo:Band
translate question to dbpedia path: Which line of the Vadodara Junction railway station is the route end of Mumbai Vadodara Expressway ?,dbr:Mumbai_Vadodara_Expressway >> dbo:routeEnd >> [ANS] [SEP] dbr:Vadodara_Junction_railway_station >> dbp:line >> [ANS]
translate question to dbpedia path: Who authored the works published in the Jump Square Magazine?,[VAR1] >> dbp:author >> [ANS] [SEP] [VAR1] >> dbp:magazine >> dbr:Jump_Square
translate question to dbpedia path: How many things are aired on BBC HD?,COUNT >> [ANS] >> dbo:network >> dbr:BBC_HD
translate question to dbpedia path: Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?,dbr:Craig_Van_Tilbury >> dbo:occupation >> [ANS] [SEP] dbr:The_Chess_Monthly >> dbp:discipline >> [ANS]
translate question to dbpedia path: Where does the successor of Thongsuk Samdaengpan reside?,[VAR1] >> dbo:location >> [ANS] [SEP] dbr:Thongsuk_Samdaengpan >> dbp:successor >> [VAR1]
translate question to dbpedia path: What is the location city of the Denver Broncos which is also  place of birth of the William C. Cramer ?,dbr:Denver_Broncos >> dbo:locationCity >> [ANS] [SEP] dbr:William_C._Cramer >> dbp:placeOfBirth >> [ANS]
translate question to dbpedia path: Was Mark Twain a character of Mark Twain Tonight?,ASK >> dbr:Mark_Twain_Tonight >> dbp:characters >> dbr:Mark_Twain
translate question to dbpedia path: List bacteria whose order (taxonomy) is Bacillales and domain is Bacteria?,[ANS] >> dbo:order >> dbr:Bacillales [SEP] [ANS] >> dbp:domain >> dbr:Bacteria [SEP] [ANS] >> rdf:type >> dbo:Bacteria
translate question to dbpedia path: What is the place of the Geography Club (play) which is also the  official residence of the Scott Berkun?,dbr:Geography_Club_(play) >> dbp:place >> [ANS] [SEP] dbr:Scott_Berkun >> dbp:residence >> [ANS]
translate question to dbpedia path: What are some characters of series produced by Ricky Grevais?,[ANS] >> dbo:series >> [VAR1] [SEP] [VAR1] >> dbo:executiveProducer >> dbr:Ricky_Gervais
"translate question to dbpedia path: Is the song Killing is Out, School is in belong in the The Next Step?","ASK >> dbr:Killing_Is_Out,_School_Is_In >> dbp:album >> dbr:The_Next_Step_(James_Brown_album)"
translate question to dbpedia path: Which band's  former member are Kevin Jonas and Joe Jonas?,[ANS] >> dbo:formerBandMember >> dbr:Kevin_Jonas [SEP] [ANS] >> dbp:pastMembers >> dbr:Joe_Jonas [SEP] [ANS] >> rdf:type >> dbo:Band
translate question to dbpedia path: Count all those whose youth club was managed by Luis Enrique.,COUNT >> [ANS] >> dbp:youthclubs >> [VAR1] [SEP] [VAR1] >> dbp:manager >> dbr:Luis_Enrique_(footballer)
translate question to dbpedia path: Is camel  of the chordate phylum?,ASK >> dbr:Camel >> dbp:phylum >> dbr:Chordate
translate question to dbpedia path: What is the purpose of the Maharashtra Chess Association which is genere of PyChess?,dbr:Maharashtra_Chess_Association >> dbp:purpose >> [ANS] [SEP] dbr:PyChess >> dbo:genre >> [ANS]
translate question to dbpedia path: Whose former teams are Indianapolis Colts and Carolina Panthers?,[ANS] >> dbo:formerTeam >> dbr:Carolina_Panthers [SEP] [ANS] >> dbo:formerTeam >> dbr:Indianapolis_Colts
translate question to dbpedia path: In which language is All I need is Your Sweet lovin written ?,dbr:All_I_Need_Is_Your_Sweet_Lovin' >> dbp:language >> [ANS]
translate question to dbpedia path: Which colonel consort is Dolley Madison?,[ANS] >> dbp:rank >> dbr:Colonel_(United_States) [SEP] [ANS] >> dbp:spouse >> dbr:Dolley_Madison
translate question to dbpedia path: Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?,dbr:Salahuddin_Rabbani >> dbo:nationality >> [ANS] [SEP] dbr:Zaman_Shah_Durrani >> dbp:title >> [ANS]
translate question to dbpedia path: Does the merlin express have a hub at the cibano international airport?,ASK >> dbr:Merlin_Express >> dbo:hubAirport >> dbr:Cibao_International_Airport
translate question to dbpedia path: Was Duanne Allman known to play the Les Paul?,ASK >> dbr:Duane_Allman >> dbp:notableInstruments >> dbr:Gibson_Les_Paul
translate question to dbpedia path: List the judges of Rising Star which is also the artist of Brad Paisley discography ?,dbr:Brad_Paisley_discography >> dbp:artist >> [ANS] [SEP] dbr:Rising_Star_(U.S._TV_series) >> dbp:judges >> [ANS]
translate question to dbpedia path: Who are some people whose relation is hqed in Gold Base?,[ANS] >> dbo:religion >> [VAR1] [SEP] [VAR1] >> dbp:headquarters >> dbr:Gold_Base
translate question to dbpedia path: Which party does Iqbal Singh and B Shiva Rao currently belong to?,dbr:B._Shiva_Rao >> dbp:party >> [ANS] [SEP] dbr:Iqbal_Singh_(politician) >> dbp:party >> [ANS]
translate question to dbpedia path: In which state is the alma mater of Ben Ysursa located ?,[VAR1] >> dbo:state >> [ANS] [SEP] dbr:Ben_Ysursa >> dbp:almaMater >> [VAR1]
"translate question to dbpedia path: What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?",dbr:Lagos_Preparatory_School >> dbo:sport >> [ANS] [SEP] dbr:William_Garne >> dbo:occupation >> [ANS]
translate question to dbpedia path: What are the beverages whose origin is England?,[ANS] >> dbo:origin >> dbr:England
translate question to dbpedia path: Which current member of Insect vs Robots is also the music composer of Kenny Dies ?,dbr:Insects_vs_Robots >> dbp:currentMembers >> [ANS] [SEP] dbr:Kenny_Dies >> dbo:musicComposer >> [ANS]
translate question to dbpedia path: What are the television shows whose distributer is HBO?,[ANS] >> dbp:distributor >> dbr:HBO [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow
translate question to dbpedia path: What is the distributing label of StandBy Records ?,dbr:StandBy_Records >> dbo:distributingLabel >> [ANS]
translate question to dbpedia path: Who is the film star of On Air with Ryan Seacrest ?,dbr:On_Air_with_Ryan_Seacrest >> dbo:starring >> [ANS]
"translate question to dbpedia path: Who have children named James Roosevelt and Franklin Delano Roosevelt, Jr.?","[ANS] >> dbp:children >> dbr:Franklin_Delano_Roosevelt,_Jr. [SEP] [ANS] >> dbp:children >> dbr:James_Roosevelt"
translate question to dbpedia path: In how many different places does Canal and River Trust own its assets?,COUNT >> [VAR1] >> dbo:location >> [ANS] [SEP] [VAR1] >> dbo:owner >> dbr:Canal_&_River_Trust
translate question to dbpedia path: Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?,COUNT >> [VAR1] >> dbo:launchSite >> [ANS] [SEP] [VAR1] >> dbo:launchSite >> dbr:Cape_Canaveral_Air_Force_Station
translate question to dbpedia path: List some leaders of regions in the Indian Standard Time Zone?,[VAR1] >> dbo:leaderName >> [ANS] [SEP] [VAR1] >> dbo:timeZone >> dbr:Indian_Standard_Time [SEP] [VAR1] >> rdf:type >> dbo:Place
translate question to dbpedia path: Name some comic characters created by Bruce Timm?,[ANS] >> dbo:creator >> dbr:Bruce_Timm
translate question to dbpedia path: Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?,dbr:Franklin_W._Olin >> dbp:education >> [ANS] [SEP] dbr:Patty_Lin >> dbp:almaMater >> [ANS]
translate question to dbpedia path: Whihc associate of THomas Bryan Martin is also the founder of Pittsburgh ?,dbr:Pittsburgh >> dbo:founder >> [ANS] [SEP] dbr:Thomas_Bryan_Martin >> dbo:associate >> [ANS]
translate question to dbpedia path: Who gives the license of WXXV-DT2 ?,dbr:WXXV-DT2 >> dbp:licensee >> [ANS]
translate question to dbpedia path: Count the number of sports played by schools which play hockey ?,COUNT >> [VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbo:sport >> dbr:Hockey
translate question to dbpedia path: List the tomb of the royalties whose burial place is Little Easton ?,[VAR1] >> dbp:placeOfBurial >> [ANS] [SEP] [VAR1] >> dbp:placeOfBurial >> dbr:Little_Easton [SEP] [VAR1] >> rdf:type >> dbo:Royalty
translate question to dbpedia path: What are some relatives of the people who fought in Operation Barbarossa?,[VAR1] >> dbo:battle >> dbr:Operation_Barbarossa [SEP] [VAR1] >> dbo:relation >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: How many awards have been given to screenwriters?,COUNT >> [VAR1] >> dbp:awards >> [ANS] [SEP] [VAR1] >> dbp:occupation >> dbr:Screenwriter
translate question to dbpedia path: Who is the builder of Estadio Nacional de Costa Rica (2011) ?,dbr:Estadio_Nacional_de_Costa_Rica_(2011) >> dbo:builder >> [ANS]
translate question to dbpedia path: How many software run on operating system is Microsoft Windows?,COUNT >> [ANS] >> dbo:operatingSystem >> dbr:Microsoft_Windows [SEP] [ANS] >> rdf:type >> dbo:Software
translate question to dbpedia path: What is the awards given to the horse whose grandson is the famous Counterpoint?,[VAR1] >> dbo:honours >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Horse [SEP] dbr:Counterpoint_(horse) >> dbp:grandsire >> [VAR1]
translate question to dbpedia path: Where is the swedish covenant hospital?,dbr:Swedish_Covenant_Hospital >> dbo:location >> [ANS]
translate question to dbpedia path: Who won a Norbert Wiener Award for Social and Professional Responsibility?,[ANS] >> dbp:prizes >> dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility
translate question to dbpedia path: What awards have been given to Screenwriters?,[VAR1] >> dbp:awards >> [ANS] [SEP] [VAR1] >> dbp:occupation >> dbr:Screenwriter
translate question to dbpedia path: Which office's people have died on the US Route 165?,[VAR1] >> dbp:deathPlace >> dbr:U.S._Route_165 [SEP] [VAR1] >> dbp:office >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Person
translate question to dbpedia path: In which races have Tillingdale's horses participated?,[VAR1] >> dbp:owner >> dbr:Tillingdale [SEP] [VAR1] >> dbp:race >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Horse
translate question to dbpedia path: List the show related to the which was followed by Doctor Who Extra?,[ANS] >> dbo:related >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow [SEP] [VAR1] >> dbo:subsequentWork >> dbr:Doctor_Who_Extra
translate question to dbpedia path: What is the predecessor of the automobile which is the related of Cadillac Fleetwood?,[VAR1] >> dbo:predecessor >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Automobile [SEP] dbr:Cadillac_Fleetwood >> dbp:related >> [VAR1]
translate question to dbpedia path: Which country's largest city is Lima?,[ANS] >> dbo:largestCity >> dbr:Lima
translate question to dbpedia path: Whose opponents are Ike Clanton and Billy Clanton?,[ANS] >> dbo:opponent >> dbr:Billy_Clanton [SEP] [ANS] >> dbo:opponent >> dbr:Ike_Clanton
translate question to dbpedia path: List the institute of Robert hall ?,dbr:Robert_Hall_(economist) >> dbo:institution >> [ANS]
translate question to dbpedia path: To which religion does the commander of South Thailand insurgency belong?,[VAR1] >> dbo:religion >> [ANS] [SEP] dbr:South_Thailand_insurgency >> dbo:commander >> [VAR1]
translate question to dbpedia path: Who was the writer of the novel Maniac Magee?,[ANS] >> dbp:notableworks >> dbr:Maniac_Magee [SEP] [ANS] >> rdf:type >> dbo:Writer
translate question to dbpedia path: Where is Emmett Hughes from?,dbr:Emmett_Hughes >> dbo:nationality >> [ANS]
translate question to dbpedia path: What are the movies whose music is given by Laurie Johnson?,[ANS] >> dbp:music >> dbr:Laurie_Johnson [SEP] [ANS] >> rdf:type >> dbo:Film
translate question to dbpedia path: What appliance Sony made after the success of PlayStation 2?,[ANS] >> dbo:manufacturer >> dbr:Sony [SEP] [ANS] >> dbo:predecessor >> dbr:PlayStation_2
translate question to dbpedia path: What are some cars similar to luxury cars?,[VAR1] >> dbp:class >> dbr:Luxury_vehicle [SEP] [VAR1] >> dbp:related >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Automobile
"translate question to dbpedia path: What television show is magistrated by Harry Connick, Jr.?","[ANS] >> dbp:judges >> dbr:Harry_Connick,_Jr. [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow"
translate question to dbpedia path: Did Paul Weatherwax an editor of Behave Yourself?,ASK >> dbr:Behave_Yourself! >> dbp:editing >> dbr:Paul_Weatherwax
translate question to dbpedia path: does the journal of cancer have the creative commons license?,ASK >> dbr:Journal_of_Cancer >> dbp:license >> dbr:Creative_Commons_license
translate question to dbpedia path: What genre of games are made by Blizzard Entertainment studios?,[VAR1] >> dbo:developer >> dbr:Blizzard_Entertainment [SEP] [VAR1] >> dbp:genre >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:VideoGame
translate question to dbpedia path: Name the series of Doctor Who: Evacuation Earth ?,dbr:Doctor_Who:_Evacuation_Earth >> dbo:series >> [ANS]
translate question to dbpedia path: List the awards won by the writer of Face to Face ?,[VAR1] >> dbp:awards >> [ANS] [SEP] dbr:Face_to_Face_(1976_film) >> dbp:writer >> [VAR1]
translate question to dbpedia path: What is the common party of Chandra Shekhar and Govinda  ?,dbr:Chandra_Shekhar >> dbo:otherParty >> [ANS] [SEP] dbr:Govinda_(actor) >> dbo:party >> [ANS]
translate question to dbpedia path: What awards were given to the screenplayer of The Motorcycle Diaries?,[VAR1] >> dbp:awards >> [ANS] [SEP] dbr:The_Motorcycle_Diaries_(film) >> dbp:screenplay >> [VAR1]
translate question to dbpedia path: Was Jack Ryan a nominee of US Senate?,ASK >> dbr:Jack_Ryan_(politician) >> dbo:nominee >> dbr:United_States_Senate
translate question to dbpedia path: What are some music artists whose bands have signed up with Entertainment One Music?,[VAR1] >> dbo:bandMember >> [ANS] [SEP] [VAR1] >> dbp:label >> dbr:Entertainment_One_Music [SEP] [VAR1] >> rdf:type >> dbo:Band
translate question to dbpedia path: What team did Dan Daoust and Don Ashby play for?,dbr:Dan_Daoust >> dbo:formerTeam >> [ANS] [SEP] dbr:Don_Ashby >> dbp:playedFor >> [ANS]
translate question to dbpedia path: Name the broadcast area of  Radio Philippines Network ?,dbr:Radio_Philippines_Network >> dbp:area >> [ANS]
translate question to dbpedia path: Which district of Fort Heath radar station is also the state of Joesph Story ?,dbr:Fort_Heath_radar_station >> dbp:district >> [ANS] [SEP] dbr:Joseph_Story >> dbp:state >> [ANS]
translate question to dbpedia path: Which river's mouth is located in Gulf of Mexico and has source location as Itasca State Park ?,[ANS] >> dbo:riverMouth >> dbr:Gulf_of_Mexico [SEP] [ANS] >> dbp:sourceLocation >> dbr:Itasca_State_Park [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path: Is my truly truly fair the band of mitch miller?,"ASK >> dbr:My_Truly,_Truly_Fair >> dbo:musicalBand >> dbr:Mitch_Miller"
translate question to dbpedia path: Which religion is prevalent in the schools of the Ashanti region?,[VAR1] >> dbp:denomination >> [ANS] [SEP] [VAR1] >> dbp:region >> dbr:Ashanti_Region [SEP] [VAR1] >> rdf:type >> dbo:School
translate question to dbpedia path: Which politician was succeeded by someone who graduated from the Instituts d'tudes politiques?,[ANS] >> dbp:successor >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:OfficeHolder [SEP] [VAR1] >> dbo:almaMater >> dbr:Instituts_d'études_politiques
translate question to dbpedia path: How many different mascots are there of the NCAA teams?,COUNT >> [VAR1] >> dbp:athletics >> dbr:National_Collegiate_Athletic_Association [SEP] [VAR1] >> dbp:mascot >> [ANS]
"translate question to dbpedia path: Which of the continents that Digitalb worked in, was christine rolfes born in?",dbr:Christine_Rolfes >> dbo:birthPlace >> [ANS] [SEP] dbr:Digit-Alb >> dbo:regionServed >> [ANS]
translate question to dbpedia path: Which nation hosts the WTA Tour Championships?,dbr:WTA_Tour_Championships >> dbp:country >> [ANS]
translate question to dbpedia path: Name the television show whose theme music is composed by Julian Gingell and broadcasted on FOX ?,[ANS] >> dbp:channel >> dbr:Fox_Broadcasting_Company [SEP] [ANS] >> dbp:themeMusicComposer >> dbr:Julian_Gingell [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow
translate question to dbpedia path: What is the prize received by the one who wrote the screen play of The Postman  ?,[VAR1] >> dbo:award >> [ANS] [SEP] dbr:The_Postman_(film) >> dbp:screenplay >> [VAR1]
translate question to dbpedia path: What are the awrds won by Laemmle Theatres ?,dbr:Laemmle_Theatres >> dbo:service >> [ANS]
translate question to dbpedia path: Is nintendo in the video games industry?,ASK >> dbr:Nintendo >> dbp:industry >> dbr:Video_game
"translate question to dbpedia path: Name the office holder whose predecessor is  Henry E. Catto, Jr. and won Screen Actors Guild Life Achievement Award?","[ANS] >> dbo:award >> dbr:Screen_Actors_Guild_Life_Achievement_Award [SEP] [ANS] >> dbo:predecessor >> dbr:Henry_E._Catto,_Jr. [SEP] [ANS] >> rdf:type >> dbo:OfficeHolder"
translate question to dbpedia path: Which notable commanders of the Army Group Oberrhein (Germany) is the  leader of the Kriminalpolizei?,dbr:Army_Group_Oberrhein_(Germany) >> dbp:notableCommanders >> [ANS] [SEP] dbr:Kriminalpolizei >> dbo:leader >> [ANS]
translate question to dbpedia path: Which maintainer of Cheasty Boulevard South is also the city of Soccer Bowl' 76 ?,dbr:Cheasty_Boulevard_South >> dbo:maintainedBy >> [ANS] [SEP] dbr:Soccer_Bowl_'76 >> dbo:city >> [ANS]
translate question to dbpedia path: Which colonel has allegiance to Colony of Virginia ?,[ANS] >> dbp:allegiance >> dbr:Colony_of_Virginia [SEP] [ANS] >> dbp:rank >> dbr:Colonel_(United_States) [SEP] [ANS] >> rdf:type >> dbo:OfficeHolder
translate question to dbpedia path: Which driver came first in the 1993 European Grand Prix ?,dbr:1993_European_Grand_Prix >> dbp:firstDriver >> [ANS]
